message_type,sending_time,arrival_time
Ticker,1772701380088405000,1772701380088527204
Ticker,1772701380088419000,1772701380088651887
Ticker,1772701380088426000,1772701380088653754
Ticker,1772701380088438000,1772701380088656570
MarketChange,1772701380088445000,1772701380088660048
MarketChange,1772701380088688000,1772701380088776269
MarketChange,1772701380088843000,1772701380088914182
Ticker,1772701380088891000,1772701380089038509
MarketChange,1772701380088891000,1772701380089038509
MarketChange,1772701380132790000,1772701380132882459
MarketChange,1772701380133071000,1772701380133138217
Ticker,1772701380133300000,1772701380133444485
MarketChange,1772701380133300000,1772701380133444485
Ticker,1772701380133346000,1772701380133692936
Ticker,1772701380133353000,1772701380133694546
Ticker,1772701380133361000,1772701380133697596
MarketChange,1772701380133368000,1772701380133701068
MarketChange,1772701380133395000,1772701380133816889
MarketChange,1772701380133418000,1772701380133819443
Ticker,1772701380133490000,1772701380133941842
MarketChange,1772701380133490000,1772701380133941842
Ticker,1772701380133529000,1772701380133944566
MarketChange,1772701380133529000,1772701380133944566
MarketChange,1772701380133612000,1772701380134065624
MarketChange,1772701380134126000,1772701380134248584
MarketChange,1772701380135121000,1772701380135242476
Ticker,1772701380135166000,1772701380135367248
MarketChange,1772701380135166000,1772701380135367248
MarketChange,1772701380150108000,1772701380150243332
MarketChange,1772701380169590000,1772701380169714628
Ticker,1772701380170114000,1772701380170247008
MarketChange,1772701380170114000,1772701380170247008
MarketChange,1772701380170900000,1772701380171018556
Ticker,1772701380176523000,1772701380176695958
Ticker,1772701380176547000,1772701380176820605
MarketChange,1772701380176547000,1772701380176820605
MarketChange,1772701380176794000,1772701380176946991
MarketChange,1772701380177080000,1772701380177194240
MarketChange,1772701380191443000,1772701380191568240
MarketChange,1772701380213291000,1772701380213416055
MarketChange,1772701380246932000,1772701380246995895
MarketChange,1772701380293689000,1772701380293771811
MarketChange,1772701380591615000,1772701380591708334
MarketChange,1772701380837506000,1772701380837586788
Ticker,1772701380909013000,1772701380909110869
MarketChange,1772701380909013000,1772701380909110869
MarketChange,1772701380941096000,1772701380941172338
MarketChange,1772701380941383000,1772701380941450059
MarketChange,1772701380945175000,1772701380945243822
MarketChange,1772701381030109000,1772701381030183560
MarketChange,1772701381030351000,1772701381030420011
MarketChange,1772701381040035000,1772701381040099232
Ticker,1772701381040075000,1772701381040221119
MarketChange,1772701381040075000,1772701381040221119
MarketChange,1772701381144649000,1772701381144727247
MarketChange,1772701381194078000,1772701381194214057
MarketChange,1772701381267158000,1772701381267291572
Ticker,1772701381362538000,1772701381362709398
Ticker,1772701381362551000,1772701381362831847
MarketChange,1772701381362551000,1772701381362831847
MarketChange,1772701381362904000,1772701381363014759
MarketChange,1772701381590132000,1772701381590214122
MarketChange,1772701383055586000,1772701383055680255
MarketChange,1772701383845520000,1772701383845592646
MarketChange,1772701384054709000,1772701384054796627
Ticker,1772701384876606000,1772701384876791008
MarketChange,1772701384876606000,1772701384876791008
Ticker,1772701384877195000,1772701384877327267
MarketChange,1772701384877195000,1772701384877327267
MarketChange,1772701384878065000,1772701384878232606
MarketChange,1772701384957088000,1772701384957225414
Ticker,1772701384974261000,1772701384974425553
Ticker,1772701384974278000,1772701384974551944
MarketChange,1772701384974278000,1772701384974551944
MarketChange,1772701384974542000,1772701384974674371
MarketChange,1772701384979780000,1772701384979904713
MarketChange,1772701385010810000,1772701385010926045
Ticker,1772701385011219000,1772701385011379786
MarketChange,1772701385011219000,1772701385011379786
Ticker,1772701385022985000,1772701385023233128
Ticker,1772701385023002000,1772701385023235337
MarketChange,1772701385023002000,1772701385023235337
MarketChange,1772701385023301000,1772701385023421001
MarketChange,1772701385060290000,1772701385060413832
MarketChange,1772701385079226000,1772701385079303705
MarketChange,1772701385103805000,1772701385103876740
MarketChange,1772701385103863000,1772701385103999168
MarketChange,1772701385163644000,1772701385163725573
MarketChange,1772701385192670000,1772701385192738342
MarketChange,1772701385269785000,1772701385269910101
MarketChange,1772701385281586000,1772701385281702471
MarketChange,1772701385281875000,1772701385281989962
MarketChange,1772701385362100000,1772701385362223598
MarketChange,1772701385362343000,1772701385362417582
MarketChange,1772701385438090000,1772701385438171836
MarketChange,1772701386271747000,1772701386271824784
MarketChange,1772701386336732000,1772701386336807341
Ticker,1772701388045351000,1772701388045458161
MarketChange,1772701388045351000,1772701388045458161
MarketChange,1772701388046545000,1772701388046664743
Ticker,1772701389302359000,1772701389302457348
MarketChange,1772701389302359000,1772701389302457348
MarketChange,1772701389388295000,1772701389388366827
MarketChange,1772701389407868000,1772701389407938470
MarketChange,1772701389547689000,1772701389547768256
MarketChange,1772701390308208000,1772701390308286895
MarketChange,1772701391209580000,1772701391209708280
