message_type,sending_time,arrival_time
MarketChange,1773219782487844000,1773219782487938995
MarketChange,1773219783019720000,1773219783019790499
MarketChange,1773219784182120000,1773219784182184722
MarketChange,1773219784182365000,1773219784182430312
MarketChange,1773219784182872000,1773219784183019541
MarketChange,1773219784183033000,1773219784183140169
MarketChange,1773219784183143000,1773219784183266684
MarketChange,1773219784183675000,1773219784183742841
MarketChange,1773219784183698000,1773219784183867978
MarketChange,1773219784184097000,1773219784184218069
Ticker,1773219784184139000,1773219784184338754
Ticker,1773219784184150000,1773219784184340499
Ticker,1773219784184160000,1773219784184342377
MarketChange,1773219784184160000,1773219784184342377
MarketChange,1773219784185029000,1773219784185139536
Ticker,1773219784185122000,1773219784185389066
MarketChange,1773219784185122000,1773219784185389066
MarketChange,1773219784185221000,1773219784185394485
Ticker,1773219784185539000,1773219784185691729
MarketChange,1773219784185549000,1773219784185693150
MarketChange,1773219784186531000,1773219784186750660
MarketChange,1773219784186904000,1773219784187028503
MarketChange,1773219784186933000,1773219784187152290
MarketChange,1773219784187109000,1773219784187280590
MarketChange,1773219784188448000,1773219784188543339
MarketChange,1773219784188890000,1773219784189041568
MarketChange,1773219784189238000,1773219784189413445
MarketChange,1773219784193503000,1773219784193645956
MarketChange,1773219784194579000,1773219784194640834
MarketChange,1773219784195732000,1773219784195851547
MarketChange,1773219784195758000,1773219784195978419
Ticker,1773219784195895000,1773219784196102208
MarketChange,1773219784195895000,1773219784196102208
MarketChange,1773219784196301000,1773219784196474441
MarketChange,1773219784196385000,1773219784196478387
MarketChange,1773219784196700000,1773219784196851384
Ticker,1773219784198010000,1773219784198108091
Ticker,1773219784198024000,1773219784198233147
Ticker,1773219784198037000,1773219784198238284
MarketChange,1773219784198037000,1773219784198238284
MarketChange,1773219784198689000,1773219784198856074
MarketChange,1773219784202083000,1773219784202236416
MarketChange,1773219784203449000,1773219784203595162
Ticker,1773219784247386000,1773219784247546152
MarketChange,1773219784247386000,1773219784247546152
MarketChange,1773219784247651000,1773219784247793995
MarketChange,1773219784247869000,1773219784248044272
MarketChange,1773219784247954000,1773219784248046976
MarketChange,1773219784248073000,1773219784248294086
MarketChange,1773219784250125000,1773219784250243641
Ticker,1773219784301270000,1773219784301359695
MarketChange,1773219784301270000,1773219784301359695
Ticker,1773219784355039000,1773219784355173862
MarketChange,1773219784355039000,1773219784355173862
MarketChange,1773219784355431000,1773219784355570257
Ticker,1773219784355655000,1773219784355813891
MarketChange,1773219784355655000,1773219784355813891
MarketChange,1773219784356824000,1773219784356936132
MarketChange,1773219784441975000,1773219784442045899
MarketChange,1773219784687812000,1773219784687898845
MarketChange,1773219784956242000,1773219784956320606
Ticker,1773219785458518000,1773219785458619511
Ticker,1773219785458531000,1773219785458737713
MarketChange,1773219785458531000,1773219785458737713
Ticker,1773219785459130000,1773219785459204571
MarketChange,1773219785459130000,1773219785459204571
MarketChange,1773219785459253000,1773219785459454418
Ticker,1773219785459963000,1773219785460056311
MarketChange,1773219785459963000,1773219785460056311
Ticker,1773219785460014000,1773219785460180415
MarketChange,1773219785460014000,1773219785460180415
MarketChange,1773219785460369000,1773219785460554153
MarketChange,1773219785460996000,1773219785461160425
MarketChange,1773219785461740000,1773219785461914413
MarketChange,1773219785462959000,1773219785463124097
MarketChange,1773219785519274000,1773219785519338630
MarketChange,1773219785544018000,1773219785544133212
Ticker,1773219785544316000,1773219785544403911
MarketChange,1773219785544316000,1773219785544403911
Ticker,1773219785631745000,1773219785631829711
MarketChange,1773219785631745000,1773219785631829711
MarketChange,1773219785632809000,1773219785632927141
MarketChange,1773219785633376000,1773219785633508982
MarketChange,1773219785742188000,1773219785742300145
Ticker,1773219785808759000,1773219785808893886
MarketChange,1773219785808759000,1773219785808893886
MarketChange,1773219785809042000,1773219785809169457
Ticker,1773219785833599000,1773219785833709127
Ticker,1773219785833617000,1773219785833830986
Ticker,1773219785833628000,1773219785833833966
Ticker,1773219785833640000,1773219785833836368
MarketChange,1773219785833640000,1773219785833836368
MarketChange,1773219785834087000,1773219785834238774
