window,rebalance,cov,ridge,mv_ann_vol,mean_turnover
126,21,ledoit_wolf,1e-06,0.03705227940455703,0.1274145369094481
126,10,ledoit_wolf,1e-06,0.037055070573345374,0.08453742395423253
126,5,ledoit_wolf,1e-06,0.037061989385926024,0.05957318174510095
126,10,ledoit_wolf,1e-08,0.03708003471061309,0.08676168309865978
126,10,ledoit_wolf,1e-10,0.03708033372508554,0.08678571242556031
126,10,ledoit_wolf,1e-12,0.03708033669817292,0.08678595259817581
126,21,ledoit_wolf,1e-08,0.03708408224846994,0.1308295084034776
126,21,ledoit_wolf,1e-10,0.03708442997412856,0.13086563465092807
126,21,ledoit_wolf,1e-12,0.037084433454578125,0.13086599613871058
126,5,ledoit_wolf,1e-08,0.03709090831891713,0.06126378788514572
126,5,ledoit_wolf,1e-10,0.03709124311246238,0.06128208489114538
126,5,ledoit_wolf,1e-12,0.03709124646230475,0.06128226794028983
126,10,oas,1e-06,0.0370939277319106,0.08667224396352799
252,10,ledoit_wolf,1e-06,0.03709568510059718,0.04804989919211391
126,21,oas,1e-06,0.03709980650683903,0.13097429970121252
252,10,oas,1e-06,0.037100196940361506,0.048761918706008114
252,10,ledoit_wolf,1e-08,0.037100592848245705,0.049494212944648196
252,10,ledoit_wolf,1e-10,0.03710069778507717,0.04951051642536696
252,10,ledoit_wolf,1e-12,0.03710069883644006,0.049510679610245446
126,5,oas,1e-06,0.037104606433369235,0.06113992578658073
252,10,oas,1e-08,0.03710957937139117,0.05040757165821972
252,10,oas,1e-10,0.03710970267436227,0.050425490666474324
252,10,oas,1e-12,0.03710970390952948,0.05042567005358634
252,5,ledoit_wolf,1e-06,0.037113342367859445,0.03324755656733784
252,5,oas,1e-06,0.037117810285834545,0.033799174496047274
252,5,ledoit_wolf,1e-08,0.03711997530542943,0.03436056362804949
252,5,ledoit_wolf,1e-10,0.03712010172503598,0.03437247787337769
252,5,ledoit_wolf,1e-12,0.03712010299144967,0.03437259713290595
126,10,oas,1e-08,0.037124264498673905,0.08913591796233399
126,10,oas,1e-10,0.037124570010384966,0.08916169223848568
126,10,oas,1e-12,0.03712457306838834,0.08916195015566089
252,5,oas,1e-08,0.03712896842199939,0.0350129840645886
252,5,oas,1e-10,0.037129116291963644,0.03502633250787919
252,5,oas,1e-12,0.03712911777318008,0.03502646790710944
126,21,oas,1e-08,0.037137697594860276,0.13477276897278098
